"key_ID","year","case_type_ID","case_type","count_cases"
1,1988,1,"Scheme",0
2,1988,2,"Individual application",1
3,1988,3,"Ad hoc",0
4,1989,1,"Scheme",0
5,1989,2,"Individual application",0
6,1989,3,"Ad hoc",0
7,1990,1,"Scheme",0
8,1990,2,"Individual application",0
9,1990,3,"Ad hoc",0
10,1991,1,"Scheme",0
11,1991,2,"Individual application",0
12,1991,3,"Ad hoc",0
13,1992,1,"Scheme",1
14,1992,2,"Individual application",1
15,1992,3,"Ad hoc",0
16,1993,1,"Scheme",3
17,1993,2,"Individual application",0
18,1993,3,"Ad hoc",0
19,1994,1,"Scheme",2
20,1994,2,"Individual application",0
21,1994,3,"Ad hoc",2
22,1995,1,"Scheme",13
23,1995,2,"Individual application",0
24,1995,3,"Ad hoc",4
25,1996,1,"Scheme",19
26,1996,2,"Individual application",1
27,1996,3,"Ad hoc",5
28,1997,1,"Scheme",43
29,1997,2,"Individual application",6
30,1997,3,"Ad hoc",27
31,1998,1,"Scheme",222
32,1998,2,"Individual application",19
33,1998,3,"Ad hoc",51
34,1999,1,"Scheme",612
35,1999,2,"Individual application",44
36,1999,3,"Ad hoc",63
37,2000,1,"Scheme",622
38,2000,2,"Individual application",41
39,2000,3,"Ad hoc",58
40,2001,1,"Scheme",812
41,2001,2,"Individual application",31
42,2001,3,"Ad hoc",74
43,2002,1,"Scheme",865
44,2002,2,"Individual application",41
45,2002,3,"Ad hoc",102
46,2003,1,"Scheme",706
47,2003,2,"Individual application",31
48,2003,3,"Ad hoc",101
49,2004,1,"Scheme",830
50,2004,2,"Individual application",30
51,2004,3,"Ad hoc",70
52,2005,1,"Scheme",909
53,2005,2,"Individual application",41
54,2005,3,"Ad hoc",63
55,2006,1,"Scheme",885
56,2006,2,"Individual application",101
57,2006,3,"Ad hoc",183
58,2007,1,"Scheme",1595
59,2007,2,"Individual application",59
60,2007,3,"Ad hoc",99
61,2008,1,"Scheme",1315
62,2008,2,"Individual application",108
63,2008,3,"Ad hoc",199
64,2009,1,"Scheme",1539
65,2009,2,"Individual application",109
66,2009,3,"Ad hoc",237
67,2010,1,"Scheme",1045
68,2010,2,"Individual application",64
69,2010,3,"Ad hoc",140
70,2011,1,"Scheme",909
71,2011,2,"Individual application",51
72,2011,3,"Ad hoc",128
73,2012,1,"Scheme",832
74,2012,2,"Individual application",79
75,2012,3,"Ad hoc",170
76,2013,1,"Scheme",1047
77,2013,2,"Individual application",97
78,2013,3,"Ad hoc",117
79,2014,1,"Scheme",1271
80,2014,2,"Individual application",81
81,2014,3,"Ad hoc",188
82,2015,1,"Scheme",2013
83,2015,2,"Individual application",57
84,2015,3,"Ad hoc",956
85,2016,1,"Scheme",1585
86,2016,2,"Individual application",50
87,2016,3,"Ad hoc",839
88,2017,1,"Scheme",1534
89,2017,2,"Individual application",22
90,2017,3,"Ad hoc",651
91,2018,1,"Scheme",1511
92,2018,2,"Individual application",11
93,2018,3,"Ad hoc",879
94,2019,1,"Scheme",1516
95,2019,2,"Individual application",15
96,2019,3,"Ad hoc",1242
97,2020,1,"Scheme",1056
98,2020,2,"Individual application",8
99,2020,3,"Ad hoc",505
